week_start,FL_cases,NM_cases,TX_cases,AZ_cases,UT_cases,SC_cases
1/5/25,0,0,0,0,0,0
1/12/25,0,0,0,0,0,0
1/19/25,0,0,11,0,0,0
1/26/25,0,0,31,0,0,0
2/2/25,0,0,58,0,0,0
2/9/25,0,14,108,0,0,0
2/16/25,0,20,176,0,0,0
2/23/25,0,28,237,0,0,0
3/2/25,1,34,305,0,0,0
3/9/25,1,40,370,0,0,0
3/16/25,1,43,454,0,0,0
3/23/25,1,49,521,0,0,0
3/30/25,1,59,588,0,0,0
4/6/25,1,64,643,0,0,0
4/13/25,1,65,687,0,0,0
4/20/25,2,67,710,0,0,0
4/27/25,2,72,733,0,0,0
5/4/25,2,75,744,0,0,0
5/11/25,2,77,752,0,0,0
5/18/25,2,79,768,0,0,0
5/25/25,2,81,779,0,0,0
6/1/25,3,81,784,0,0,0
6/8/25,3,81,786,4,0,0
6/15/25,3,88,789,4,1,0
6/22/25,4,95,795,4,3,0
6/29/25,4,95,797,4,9,0
7/6/25,4,95,797,4,10,0
7/13/25,4,96,798,4,10,0
7/20/25,4,96,798,4,11,0
7/27/25,4,97,798,4,11,0
8/3/25,4,98,801,4,11,0
8/10/25,6,100,801,5,11,0
8/17/25,6,100,801,24,12,0
8/24/25,6,100,801,24,13,0
8/31/25,6,100,802,30,17,1
9/7/25,6,100,802,41,25,1
9/14/25,6,100,802,55,32,2
9/21/25,6,100,802,57,46,6
9/28/25,6,100,802,65,52,8
10/5/25,6,100,802,69,57,15
10/12/25,6,100,802,81,59,21
10/19/25,6,100,802,89,64,33
10/26/25,6,100,803,106,68,34
11/2/25,6,100,803,109,75,44
11/9/25,7,100,803,137,84,52
11/16/25,7,100,803,146,91,65
11/23/25,7,100,803,158,103,87
11/30/25,7,100,803,159,111,129
12/7/25,7,100,803,179,117,147
12/14/25,7,100,803,191,133,159
12/21/25,7,100,803,193,153,302
12/28/25,7,100,803,203,167,313
1/4/26,10,100,803,207,197,561
1/11/26,10,100,803,221,216,703
1/18/26,14,100,803,231,229,850
1/25/26,22,100,803,236,246,923
2/1/26,75,100,803,244,266,953
2/8/26,99,100,803,263,294,976
2/15/26,120,100,803,269,329,988
2/22/26,131,106,830,275,349,994
3/1/26,138,106,830,276,396,999
3/8/26,147,113,938,280,432,1000
3/15/26,149,113,949,291,475,1000
3/22/26,151,116,972,292,527,1000
3/29/26,151,116,977,292,567,1000
4/5/26,151,116,978,292,583,1000
